ticker,entry_date,exit_date,return,days_held,allocated,strategy
CMCSA,2024-07-23,2024-08-21,0.03799777376351652,20,2060.8346083287033,Strategy B (conf>=0.72)
V,2024-07-24,2024-08-22,0.05416765584934677,20,1648.6676866629628,Strategy B (conf>=0.72)
VZ,2024-07-25,2024-08-23,0.026318112071349126,20,1318.9341493303702,Strategy B (conf>=0.72)
BAC,2024-07-30,2024-08-28,-0.046840452666684435,20,1055.1473194642963,Strategy B (conf>=0.72)
MA,2024-07-31,2024-08-29,0.018357221309694145,20,703.4315463095309,Strategy B (conf>=0.72)
JPM,2024-08-02,2024-09-03,0.14458105008704508,20,502.4511045068078,Strategy B (conf>=0.72)
LIN,2024-08-02,2024-09-03,0.042943693370312876,20,376.8383283801058,Strategy B (conf>=0.72)
BRK-B,2024-08-05,2024-09-04,0.14854008901332766,20,293.0964776289712,Strategy B (conf>=0.72)
UNH,2024-08-09,2024-09-10,0.05748994506604692,20,234.47718210317694,Strategy B (conf>=0.72)
HD,2024-08-20,2024-09-19,0.06332241260414533,20,428.0588032342527,Strategy B (conf>=0.72)
NFLX,2024-10-18,2024-11-18,0.06395516724222222,20,2562.6458929335895,Strategy B (conf>=0.72)
RTX,2024-10-22,2024-11-20,-0.059522005553571136,20,2050.1167143468715,Strategy B (conf>=0.72)
TSLA,2024-10-24,2024-11-22,0.3313307032024085,20,1640.0933714774974,Strategy B (conf>=0.72)
VZ,2024-10-25,2024-11-25,0.04459703537370699,20,1312.0746971819979,Strategy B (conf>=0.72)
BAC,2024-10-29,2024-11-27,0.1454876153217514,20,1049.6597577455982,Strategy B (conf>=0.72)
JPM,2024-10-30,2024-11-29,0.1109716234245137,20,699.7731718303988,Strategy B (conf>=0.72)
GOOGL,2024-10-30,2024-11-29,-0.027742908109056517,20,499.8379798788563,Strategy B (conf>=0.72)
MA,2024-10-31,2024-12-02,0.06392284176224003,20,374.8784849091422,Strategy B (conf>=0.72)
CMCSA,2024-10-31,2024-12-02,-0.031214180911965057,20,291.5721549293328,Strategy B (conf>=0.72)
LIN,2024-10-31,2024-12-02,0.008813600155347327,20,233.25772394346623,Strategy B (conf>=0.72)
TMO,2024-11-01,2024-12-03,-0.048477741741367375,20,190.8472286810178,Strategy B (conf>=0.72)
UNH,2024-11-04,2024-12-04,0.09346865284268337,20,159.0393572341815,Strategy B (conf>=0.72)
UPS,2024-11-06,2024-12-06,-0.04149867654523714,20,134.57176381353818,Strategy B (conf>=0.72)
HD,2024-11-19,2024-12-19,-0.02361406010982105,20,333.95396195086226,Strategy B (conf>=0.72)
WMT,2024-12-06,2025-01-08,-0.04645436100105316,20,2671.3036155220434,Strategy B (conf>=0.72)
COST,2024-12-19,2025-01-23,-0.009110480612983331,20,2202.256483021523,Strategy B (conf>=0.72)
NKE,2025-01-03,2025-02-05,0.0335762647387358,20,1761.805186417218,Strategy B (conf>=0.72)
V,2025-01-31,2025-03-04,0.05992903669790432,20,2355.324705344035,Strategy B (conf>=0.72)
BRK-B,2025-02-24,2025-03-25,0.04675911571260138,20,2248.451769030116,Strategy B (conf>=0.72)
ACN,2025-03-20,2025-04-21,-0.04901196494220646,20,2298.056824433308,Strategy B (conf>=0.72)
NKE,2025-04-03,2025-05-05,0.09107060745198653,20,2309.162936641126,Strategy B (conf>=0.72)
TSLA,2025-04-23,2025-05-22,0.3239500754350674,20,2284.415258096698,Strategy B (conf>=0.72)
NEE,2025-04-23,2025-05-22,0.026744564515143333,20,1827.5322064773582,Strategy B (conf>=0.72)
TXN,2025-04-24,2025-05-23,0.10206573131066532,20,1462.0257651818865,Strategy B (conf>=0.72)
CMCSA,2025-04-24,2025-05-23,0.02047972999741901,20,1169.620612145509,Strategy B (conf>=0.72)
HON,2025-04-29,2025-05-29,0.07276084260998589,20,779.7470747636727,Strategy B (conf>=0.72)
V,2025-04-30,2025-05-30,0.04636999017388376,20,556.9621962597663,Strategy B (conf>=0.72)
BAC,2025-04-30,2025-05-30,0.10874381505161863,20,417.7216471948247,Strategy B (conf>=0.72)
JPM,2025-05-01,2025-06-02,0.04580407115432035,20,324.89461448486367,Strategy B (conf>=0.72)
MA,2025-05-01,2025-06-02,0.04376001385944044,20,259.91569158789093,Strategy B (conf>=0.72)
LIN,2025-05-01,2025-06-02,0.024281064712087564,20,212.65829311736533,Strategy B (conf>=0.72)
TMO,2025-05-02,2025-06-03,-0.06570172794621582,20,177.21524426447112,Strategy B (conf>=0.72)
UPS,2025-05-07,2025-06-06,0.05023249358609294,20,372.40229124131906,Strategy B (conf>=0.72)
COST,2025-06-05,2025-07-08,-0.03150078742802751,20,2935.7969524560212,Strategy B (conf>=0.72)
GOOGL,2025-07-24,2025-08-22,0.05499538426569442,20,2995.522766699297,Strategy B (conf>=0.72)
TXN,2025-07-29,2025-08-27,0.07337658138570392,20,2396.4182133594377,Strategy B (conf>=0.72)
BAC,2025-07-31,2025-08-29,0.0885168379030928,20,1917.1345706875502,Strategy B (conf>=0.72)
MA,2025-07-31,2025-08-29,0.04890599598306453,20,1533.7076565500402,Strategy B (conf>=0.72)
LIN,2025-08-01,2025-09-02,0.036641888033908145,20,1226.9661252400322,Strategy B (conf>=0.72)
TMO,2025-08-01,2025-09-02,0.062486151223567335,20,817.9774168266881,Strategy B (conf>=0.72)
JPM,2025-08-05,2025-09-04,0.025342837941390344,20,584.2695834476343,Strategy B (conf>=0.72)
WMT,2025-08-29,2025-09-30,0.058343803761671524,20,2586.737560040509,Strategy B (conf>=0.72)
NKE,2025-10-01,2025-10-30,-0.1319333785821563,20,3164.939739923597,Strategy B (conf>=0.72)
NFLX,2025-10-22,2025-11-20,-0.015996915474245033,20,2531.9517919388777,Strategy B (conf>=0.72)
TSLA,2025-10-23,2025-11-21,-0.10061278469579246,20,2025.5614335511018,Strategy B (conf>=0.72)
TXN,2025-10-23,2025-11-21,-0.11145689375913635,20,1620.4491468408814,Strategy B (conf>=0.72)
GOOGL,2025-10-30,2025-12-01,0.1207824828593009,20,1845.835026878014,Strategy B (conf>=0.72)
CMCSA,2025-10-30,2025-12-01,-0.009604547182011869,20,1476.6680215024112,Strategy B (conf>=0.72)
LIN,2025-10-31,2025-12-02,-0.034747751326921324,20,984.4453476682742,Strategy B (conf>=0.72)
JPM,2025-11-04,2025-12-04,0.010789104314313031,20,703.1752483344816,Strategy B (conf>=0.72)
MCD,2025-11-05,2025-12-05,0.019548811343311198,20,527.3814362508612,Strategy B (conf>=0.72)
UPS,2025-11-05,2025-12-05,0.03714681621750252,20,410.1855615284476,Strategy B (conf>=0.72)
MSFT,2023-01-24,2023-02-23,0.09163106241987107,20,2000.0,Strategy C (Fin+Tech only)
V,2023-01-27,2023-02-28,-0.04343748032042247,20,1600.0,Strategy C (Fin+Tech only)
GOOGL,2023-02-03,2023-03-07,-0.07346074626328415,20,1280.0,Strategy C (Fin+Tech only)
CRM,2023-03-08,2023-04-06,0.05853044556667134,20,2003.9464802220127,Strategy C (Fin+Tech only)
